London;BOROUGH;ASL;Crossings;Signals;TrafficCalming;CycleLaneTrack_km
Inner London;Camden;259 ( 3 );19 ( 31 );36 ( 6 );1681 ( 15 );46.7 km ( 30 )
Inner London;City of London;122 ( 12 );16 ( 33 );58 ( 3 );182 ( 33 );21.8 km ( 33 )
Inner London;Greenwich;113 ( 14 );93 ( 4 );0 ( 28 );2834 ( 8 );119.8 km ( 5 )
Inner London;Hackney;188 ( 6 );58 ( 16 );25 ( 7 );2923 ( 5 );93.5 km ( 15 )
Inner London;Hammersmith & Fulham;81 ( 21 );51 ( 18 );3 ( 16 );1362 ( 21 );68.7 km ( 23 )
Inner London;Islington;165 ( 7 );22 ( 30 );16 ( 9 );2108 ( 13 );42.8 km ( 31 )
Inner London;Kensington & Chelsea;89 ( 19 );17 ( 32 );5 ( 12 );360 ( 32 );27.9 km ( 32 )
Inner London;Lambeth;336 ( 1 );46 ( 22 );44 ( 4 );2989 ( 4 );94.6 km ( 14 )
Inner London;Lewisham;126 ( 10 );49 ( 19 );1 ( 22 );3604 ( 1 );86.5 km ( 20 )
Inner London;Southwark;274 ( 2 );71 ( 9 );44 ( 4 );3542 ( 2 );91.6 km ( 16 )
Inner London;Tower Hamlets;100 ( 15 );41 ( 26 );59 ( 2 );2320 ( 10 );102.1 km ( 12 )
Inner London;Wandsworth;228 ( 5 );59 ( 14 );17 ( 8 );2001 ( 14 );89.3 km ( 17 )
Inner London;Westminster;229 ( 4 );48 ( 20 );96 ( 1 );716 ( 30 );56.1 km ( 28 )
Outer London;Barking & Dagenham;76 ( 23 );54 ( 17 );0 ( 28 );1539 ( 16 );108.2 km ( 10 )
Outer London;Barnet;6 ( 32 );36 ( 29 );0 ( 28 );377 ( 31 );71.3 km ( 22 )
Outer London;Bexley;6 ( 32 );42 ( 25 );0 ( 28 );1015 ( 26 );84.8 km ( 21 )
Outer London;Brent;92 ( 18 );38 ( 27 );1 ( 22 );2921 ( 6 );68.5 km ( 24 )
Outer London;Bromley;51 ( 26 );45 ( 24 );2 ( 18 );795 ( 29 );112.2 km ( 9 )
Outer London;Croydon;122 ( 12 );67 ( 10 );2 ( 18 );2167 ( 11 );116.3 km ( 7 )
Outer London;Ealing;157 ( 8 );60 ( 12 );1 ( 22 );2879 ( 7 );135.4 km ( 4 )
Outer London;Enfield;38 ( 30 );78 ( 6 );5 ( 12 );1513 ( 17 );117.2 km ( 6 )
Outer London;Haringey;85 ( 20 );60 ( 12 );0 ( 28 );2156 ( 12 );88.8 km ( 18 )
Outer London;Harrow;42 ( 29 );45 ( 24 );6 ( 11 );1318 ( 22 );66.5 km ( 25 )
Outer London;Havering;47 ( 28 );48 ( 20 );0 ( 28 );1024 ( 25 );96.5 km ( 13 )
Outer London;Hillingdon;57 ( 25 );140 ( 1 );4 ( 14 );920 ( 28 );102.2 km ( 11 )
Outer London;Hounslow;99 ( 16 );139 ( 2 );0 ( 28 );1365 ( 20 );140.5 km ( 1 )
Outer London;Kingston upon Thames;68 ( 24 );67 ( 10 );4 ( 14 );1300 ( 23 );50.4 km ( 29 )
Outer London;Merton;94 ( 17 );78 ( 6 );2 ( 18 );1269 ( 24 );65 km ( 26 )
Outer London;Newham;146 ( 9 );139 ( 2 );0 ( 28 );3103 ( 3 );139.2 km ( 2 )
Outer London;Redbridge;48 ( 27 );37 ( 28 );1 ( 22 );1381 ( 19 );113.4 km ( 8 )
Outer London;Richmond upon Thames;78 ( 22 );92 ( 5 );0 ( 28 );930 ( 27 );137 km ( 3 )
Outer London;Sutton;30 ( 31 );76 ( 8 );0 ( 28 );1413 ( 18 );60.7 km ( 27 )
Outer London;Waltham Forest;123 ( 11 );59 ( 14 );11 ( 10 );2558 ( 9 );88 km ( 19 )
